Date,Open,High,Low,Close,Volume
2013-01-02,360.07,363.86,358.63,361.99,5077500
2013-01-03,362.83,366.33,360.72,362.2,4631700
2013-01-04,365.04,371.11,364.2,369.35,5521400
2013-01-07,368.09,370.06,365.66,367.74,3308000
2013-01-08,368.14,368.52,362.58,367.02,3348800
2013-01-09,366.5,369.54,364.66,369.43,4045300
2013-01-10,371.79,372.87,367.12,371.11,3667700
2013-01-11,371.37,371.59,368.52,370.37,2567800
2013-01-14,368.87,371.47,361.54,361.99,5722000
2013-01-15,360.03,367.87,356.41,362.83,7847500
2013-01-16,361.56,362.53,357.19,357.95,4042700
2013-01-17,359.21,360.18,355.87,356.02,4418500
2013-01-18,355.54,356.74,351.02,352.61,6447100
2013-01-22,352.68,353.02,348.11,351.79,7577200
2013-01-23,368.36,374.87,368.26,371.12,11806300
2013-01-24,370.99,378.79,370.63,377.48,6758600
2013-01-25,375.76,379.62,375.5,377.21,4447300
2013-01-28,376.26,378.18,374.32,375.74,3250900
2013-01-29,373.75,378.85,373.64,377.22,3490700
2013-01-30,377.25,380.86,376.83,377.29,3462500
2013-01-31,375.63,379.19,375.5,378.22,3265100
2013-02-01,379.48,388.69,379.43,388.19,7484700
2013-02-04,384.23,385.62,379.51,379.89,6074900
2013-02-05,380.95,385.94,380.12,383.25,3737600
2013-02-06,379.91,386.87,379.63,385.47,4152000
2013-02-07,385.24,389.79,383.13,387.36,5674700
2013-02-08,390.46,393.73,390.17,393.08,6034100
2013-02-11,389.59,391.89,387.26,391.6,4331200
2013-02-12,391.27,394.34,390.08,390.74,3714200
2013-02-13,390.46,393.07,390.38,391.82,2394000
2013-02-14,390.26,394.76,389.27,394.3,3467100
2013-02-15,394.09,397.03,393.93,396.84,5454100
2013-02-19,398.39,403.9,398.04,403.83,5857700
2013-02-20,403.05,404.89,396.29,396.63,5522800
2013-02-21,399.4,403.13,396.01,398.16,7005700
2013-02-22,400.03,401.03,397.3,400.26,4103600
2013-02-25,401.55,404.61,395.64,395.78,4603100
2013-02-26,397.9,398.37,392.59,395.46,4400500
2013-02-27,397.8,402.78,395.95,400.29,4048100
2013-02-28,400.95,403.9,400.92,401.0,4527000
2013-03-01,399.3,403.97,398.47,403.5,4346400
2013-03-04,403.05,411.83,402.9,411.16,5545600
2013-03-05,414.88,420.5,414.86,419.72,8080100
2013-03-06,420.94,422.42,414.82,416.11,5740200
2013-03-07,417.45,418.73,415.21,416.72,4101200
2013-03-08,417.67,417.88,412.94,416.18,5817900
2013-03-11,416.26,420.27,416.17,417.83,3186200
2013-03-12,415.77,416.36,412.25,414.22,4012500
